domain,company
antoniostrattoria.com,Antonio's Trattoria
anythingbklyn.com,Any Thing
anywaycafe.com,Anyway Cafe
aobowl.com,AO Organic Japanese
aocnyc.com,AOC
aoikitchen.com,AOI Kitchen
aperibar.com,AperiBar
apollobagels.com,Apollo Bagels
apothekenyc.com,Apothéke
appaspizza.com,Appa’s Pizza
restaurants.applebees.com,Applebee's
aragvi-nyc.com,Aragvi
arberiamenu.com,Arberia
grandmarosespizzabrooklyn.com,Archie's Pizza
arcos-de-puebla-corp.business.site,Arcos de Puebla
ardenbk.com,Arden
thearepalady.com,Arepa Lady Astoria
arepalicious.com,Arepalicious
arepascafe.squarespace.com,Arepas Café
guacuconyc.com,Arepera Guacuco
aretskyspatroon.com,Aretsky's Patroon
ariawinebar.com,Aria
ariawinebar.nyc,Aria West Village
ariarinyc.com,Ariari
arielsnyc.com,Ariel's Latin Bistro
arlenesgrocery.net,Arlene's Grocery
armadanyc.com,Armada
aroydeethaikitchen.com,Aroy Dee Thai Kitchen
arthurandsonsnyc.com,Arthur & Sons
artichokepizza.com,Artichoke Pizza
artsandcraftsbarnyc.com,Arts & Crafts Beer Parlor
aryakabobhouse.com,Arya Kabob House
asisnyc.com,As is NYC
sugarbarnyc.com,Ashford & Simpson's Sugar Bar
asiantaste86.com,Asian Taste 86
assetrestaurant.com,Asset
stregisnewyork.com,Astor Court
astoriaprovisions.com,Astoria Provisions
astoriaseafoodnyc.com,Astoria Seafood
asukasushiny.com,Asuka Sushi
asushiny.com,Asushi
atninenyc.com,At nine Restaurant & Bar
atthewallace.com,At The Wallace
athenacuisine.com,Athena
atithiindiancuisine.shop,Atithi
atlanyc.com,ATLA
atlanticdinerny.com,Atlantic Diner
atlanticgrill.com,Atlantic Grill
atlaskitchennyc.com,Atlas Kitchen
atriumdumbo.com,Atrium Dumbo
attaboy.us,Attaboy
attinyc.com,Atti
auchevaldiner.com,Au Cheval Diner
theauctionhousenyc.com,Auction House
augurswellbar.com,Augers Well
auntbernies.com,Aunt Bernie's
auntbutchiesofbrooklyn.com,Aunt Butchie's of Brooklyn
auntginnys.com,Aunt Ginny's
aurorabk.com,Aurora
austinsteakandalehouse.com,Austin Ale House
avantgardennyc.com,Avant Garden
avantispizza.com,Avanti's Pizzeria
avellinopizza.com,Avellino
avleegreekkitchen.com,Avlee
avoca-nyc.com,Avoca
avocaderia.com,Avocaderia
avocadosushinyc.com,Avocado Sushi
avotaco.com,Avotaco
theavragroup.com,Avra
awashny.com,Awash
goawolnyc.com,AWOL Bar and Grill
ayasushinewyork.com,Aya Sushi
ayahrestaurant.com,Ayah Restaurant
ayatnyc.com,Ayat
ayzanyc.com,Ayza Wine & Chocolate Bar
bsidenyc.bar,B-Side
bbkingblues.com,B.B. King Blues Club & Grill
bklynburro.square.site,B'klyn Burro
baadshah786restaurantsweets.com,Baadshah 786 Restaurant & Sweets
baarbaarnyc.com,Baar Baar
baazi.us,Baazi
babbalucci.com,Babbalucci
babbonyc.com,Babbo
babyboscantina.com,Baby Bo's Cantina
dickandjanesbk.com,Baby Jane's
babysallright.com,Baby's All Right
bacchusbistro.com,Bacchus
bachuey.com,Bachue Restaurant & Bar
bacicciabrooklyn.com,Baciccia
pocketbarnyc.com,Back Pocket Bar
badhabitsastoria.com,Bad Habits Astoria
badshahny.com,Badshah
bagatellenyc.com,Bagatelle
bagelbistrodinnergrill.com,Bagel Bistro
bagelicious.com,Bagelicious
baggiospizza.com,Baggio's Pizza and Restaurant
bahia-restaurant.com,Bahia
order.toasttab.com,Bahnmigos
banhmigos10308.com,Bahnmigos Vietnamese Sandwiches & Drinks
baisushitogo.com,Bai Sushi
eataly.com,Baita by Birreria
bakedbymelissa.com,Baked by Melissa
bakerfalls.com,Baker Falls
bakupalace.com,Baku Palace
baladerestaurants.com,Balade
balboa.business.site,Balboa
balvanerarestaurants.com,Balvanera
bandidobk.com,Bandido
bangianyc.com,Bangia
bangklyn.com,Bangklyn East Harlem
bangkokdegree.com,Bangkok Degree
bangkoksupperclubnyc.com,Bangkok Supper Club
banhanhem.com,Bánh Anh Em
bantrybaynyc.com,Bantry Bay Publik House
banyny.com,BANY 10-57
banzarbar.com,Banzarbar
bar180.com,Bar 180
bar314nyc.com,Bar 314
bar54nyc.com,Bar 54
baramericanonyc.com,Bar Americano
beaubrooklyn.com,Bar Beau
barbete.com,Bar Bête
barbianchinyc.com,Bar Bianchi
barbirba.com,Bar Birba
barbrunonyc.com,Bar Bruno
barcamillo.com,Bar Camillo
barchuzo.com,Bar Chuzo
bardalia.nyc,Bar Dalia
barferdinando.com,Bar Ferdinando
barfrancisnyc.com,Bar Francis
bargoto.com,Bar Goto
casamononyc.com,Bar Jamón
laika.bar,Bar Laika
barlouisenyc.com,Bar Louise
barlunatico.com,Bar LunAtico
barmeridian.com,Bar Meridian
barmexicananyc.com,Bar Mexicana
barmoga.com,Bar Moga
barpasquale.com,Bar Pasquale
barprimi.com,Bar Primi
barreve.com,Bar Rêve
barsanmiguelbrooklyn.com,Bar San Miguel
barsixny.com,Bar Six
barsnacknyc.com,Bar Snack
symphonyspace.org,Bar Thalia
bartoto.com,Bar Toto
barvalentinanyc.com,Bar Valentina
winebarveloce.com,Bar Veloce
baranobk.com,Barano
barbalu.com,Barbalu
barbesbrooklyn.com,Barbès
barbounia.com,Barbounia
barcadebrooklyn.com,Barcade
barcadenewyork.com,Barcade
barcadestmarks.com,Barcade
bareburger.com,Bareburger
order.bareburger.com,Bareburger
barflyny.com,Barfly
bariosonline.com,Bario's Pizzeria
barkingdognyc.com,Barking Dog
barnjoo.com,Barn Joo 35
barnjoonomad.com,Barn Joo Nomad
barn-na-thai.business.site,Barn Na Thai
barneygreengrass.com,Barney Greengrass
barons-brooklyn.com,Baron's
barranconyc.com,Barranco
barriochinony.com,Barrio Chino
bartolinosastoria.com,Bartolino's Italian Restaurant
basilbrickoven.com,Basil Brick Oven Pizza
bateauxnewyork.com,Bateaux New York
batesysbbq.com,Batesy’s BBQ
bathtubginnyc.com,Bathtub Gin
batikitchen.com,Bati Ethiopian Kitchen
batsulive.com,Batsu
baumgartscafenj.com,Baumgart’s Cafe
bayridgediner.net,Bay Ridge Diner
baysushinyc.com,Bay Sushi
bayardsushinewyork.com,Bayard Sushi
bayridgesushibk.com,Bayridge Sushi
bbqchickenfortlee.com,bb.q Chicken
bbf-nyc.com,BBF
bcdtofuhouse.com,BCD Tofu House
bepastany.com,Be Pasta
beanyc.com,BEA
thebeachcafe.com,Beach Cafe
beanpostpub.com,Bean Post Pub
thebeautybar.com,Beauty Bar
becobar.com,Beco
bedstuyfishfry.com,Bed-Stuy Fish Fry
bedouintentny.com,Bedouin Tent
orderbedsthai.com,Beds Thai
cafebeechwood.com,Beechwood Cafe
beerrun.nyc,Beer Run UWS
beerstreetny.com,Beer Street South
beetlehousenyc.com,Beetle House NYC
beginningsrestaurant.com,Beginnings Bar & Restaurant
beijingdumplingny.com,Beijing Dumpling House
bellalunanyc.com,Bella Luna Restaurant
bellanapoli.com,Bella Napoli
bellaunionnyc.com,Bella Union
bellibrooklyn.com,Belli Osteria
bellininewyork.com,Bellini
bembe.us,Bembe
m.rosewoodhotels.com,Bemelmans Bar
benaresnyc.com,Benares
bengaltigerindianfood.com,Bengal Tiger
benjaminsteakhouse.com,Benjamin Prime
benoitny.com,Benoit
thebentos.com,Bentos
benvenutocafe.com,Benvenuto Cafe Tribeca
bergamos.co,Bergamo's
berlin.nyc,Berlin Under A
brooklynbeso.com,Beso
bettynewyork.com,Betty
betweenthebread.com,Between the Bread
bevacco.com,Bevacco
beyondsushi.com,Beyond Sushi
bhattinyc.com,Bhatti
bibawilliamsburg.com,BIBA
bibiwinebar.com,Bibi Wine Bar
bicecucina.com,Bice
bierwaxnyc.com,Bier Wax
bierwaxqueens.com,BierWax Queens
bigdaddysnyc.com,Big Daddy's Diner
bigtinybk.com,Big Tiny
bigoivenezia.com,Bigoi Venezia
bijansbrooklyn.com,Bijan's
billsbarandburger.com,Bill's Bar & Burger
billstownhouse.com,Bill's Townhouse
bin141.com,Bin 141
birdpeppercuisine.com,Bird Pepper
birdlandjazz.com,Birdland Jazz Club
bisoubarnyc.com,Bisou Wine Bar
bistangonyc.com,Bistango
bistrolesamis.com,Bistro les Amis
bistrovendomenyc.com,Bistro Vendôme
biteandsiporder.com,Bite & Sip
bitesofxian.com,Bites of Xi’an
bittermonk.com,Bitter Monk
biwonnewyork.com,Biwon
bixiharlem.com,BIXI Harlem
bjsrestaurants.com,BJ's
bk9.nyc,BK9
bklyneats.com,BKLYN eats
blackforestbrooklyn.com,Black Forest Brooklyn
blackironburger.com,Black Iron Burger
blkmtnwinehouse.com,Black Mountain
blackwalnutnyc.com,Black Walnut
blackbeardramen.com,Blackbeard Ramen
locations.blazepizza.com,Blaze Pizza
bleeckerstreetbarnyc.com,Bleecker Street Bar
blendrestaurants.com,Blend on the Water
blenheimhill.com,Blenheim
blenoircrepes.com,Blenoir Crêpes and Cafe
blinkysbar.com,Blinky's
bliss46bistro.com,Bliss 46 Bistro
blockhillstation.com,Block Hill Station
blossomnyc.com,Blossom on Columbus
bltfish.com,BLT Fish
bltrestaurants.com,BLT Prime
bluseafoodrestaurant.com,Blu Seafood Restaurant & Bar
bluerestaurantnyc.com,Blue
bluefinnyc.com,Blue Fin
bluehaveneast.com,Blue Haven
bluehillfarm.com,Blue Hill
bluemountain888.com,Blue Mountain
blueribbonbrasserie.com,Blue Ribbon Brassiere
blueribbonsushibarandgrillnyc.com,Blue Ribbon Sushi Bar & Grill
bluesmoke.com,Blue Smoke
bluewillownyc.com,Blue Willow
bluebirdlondon.nyc,Bluebird London NYC
blueprintbrooklyn.com,Blueprint
blvd-diner.business.site,Blvd Diner
blvdlic.com,BLVD Wine Bar
boardwalkbeergarden.com,Boardwalk Beer Garden
bobbarnyc.com,bOb Bar
bobsyouruncle.nyc,Bob's Your Uncle
bobbyvans.com,Bobby Van's Steakhouse - Park Ave
bobbysnightout.com,Bobby's Night Out
bocajuniorsrestaurant.com,Boca Juniors Steak House
boccadibacconyc.com,Bocca di Bacco
bodega88nyc.com,Bodega 88
buddhabodhaikoshervegetarianrestaurantmulberryst.com,Bodhi
bodrumnyc.com,Bodrum
bogotabistro.com,Bogota
blp.nyc,Bolivian Llama Party
bombaychowk.com,Bombay Chowk
bombaygrillbk.com,Bombay Grill
eatbombaygrill.com,Bombay Grill
bombaygrillhouse.com,Bombay Grill House
bombaykabab.site,Bombay Kebab
bonafinibk.com,Bonafini
bond45ny.com,Bond 45
bondisushi.com,Bondi Sushi
bongnyc.com,Bong
boniandmott.com,Boni & Mott
bonjourmixeur.com,Bonjour Mixeur
bonnievee.com,Bonnie Vee
eatatbonnies.com,Bonnie's Grill
boobietrapbrooklyn.com,Boobie Trap
bootlegbarnyc.com,Bootleg Bar
boquerianyc.com,Boqueria Spanish Tapas
borgonyc.com,Borgo
bornnyc.com,Born
bosinonyc.com,Bosino
bosstweeds.nyc,Boss Tweeds
bossanovacivicclub.com,Bossa Nova Civic Club
widowjane.com,Botanica
botanicabarnyc.com,Botantica Bar
botterestaurants.com,Botte
bottedivinoparkslope.com,Botte di Vino
bottegany.com,Bottega
boucherie.nyc,Boucherie
davidbouley.com,Bouley at Home
bouncesportingclub.com,Bounce Sporting Club
bourbonsteaknyc.com,Bourbon Steak New York
boutrosbk.com,Boutros
bowerymeatcompany.com,Bowery Meat Company
bowerypalace.com,Bowery Palace
bozubrooklyn.com,Bozu
nycthincrust.com,Brado Thin Crust Pizza
brandylibrary.com,Brandy Library
brassmonkeynyc.com,Brass Monkey
cognacamericain.com,Brasserie Cognac Américain
brasseriecognac.com,Brasserie Cognac Central Park South
brasseriesaintmarc.com,Brasserie Saint Marc
braverkosherpizza.com,Bravo
bravokosherdowntown.com,Bravo Kosher Pizza
bravopizzany.com,Bravo Pizza
bravopizzaqueens.com,Bravo Pizzeria
brazmexcafe.org,BrazMex Cafe
breadandstone.com,Bread and Stone
breakfastbysaltscure.com,Breakfast by Salt’s Cure
brettsdeli.com,Brett's Deli
brevabrightonbeach.com,Breva
brewersrownyc.com,Brewer's Row
brickwinebar.com,Brick
bricklanejc.com,Brick Lane Curry House
bricklynmenu.com,Bricklyn Pizza
bricolage.nyc,Bricolage
bridgeandtunnelbrewery.com,Bridge and Tunnel Brewery
brisasempanadas.com,Brisas Bakery & Restaurant
dive101.divebarnyc.com,Broadway Dive
bronxalehouse.com,Bronx Alehouse
brooklynbagelny.com,Brooklyn Bagel
bkballfactory.com,Brooklyn Ball Factory
brooklynbbq.net,Brooklyn BBQ
blewsmokeonline.com,Brooklyn Blew Smoke Cigar Room
brooklynbrewery.com,Brooklyn Brewery
brooklynbrewhouse.com,Brooklyn Brewhouse
brooklynburgersandbeer.com,Brooklyn Burgers & Beer
brooklyncrab.com,Brooklyn Crab
brooklyndop.com,Brooklyn D.O.P. Pizza
brooklyndelicatessen.com,Brooklyn Deli
brooklyndiner.com,Brooklyn Diner
brooklynkava.com,Brooklyn Kava
brooklynpublic.com,Brooklyn Public House
brooklynsafehouse.com,Brooklyn Safehouse
brooklynsocialbar.com,Brooklyn Social
brookvin.com,Brookvin
brotherspizzeriaofstatenisland.com,Brother's Pizza
brownstonepancakefactory.com,Brownstone Pancake Factory
bryantparkgrillnyc.com,Bryant Park Grill
bubbagump.com,Bubba Gump Shrimp Company
bubbys.com,Bubby's
bubonyc.com,Bubo
buceo95.com,Buceo 95
budapest-cafe.business.site,Budapest Café & Restaurant
buddha-bodai.com,Buddha Bodai
buddysnyc.com,Buddy's
buffalowildwings.com,Buffalo Wild Wings
bukanewyork.com,Buka
bungalowny.com,Bungalow
bunnan.co,BunNan
buntonsworldfamous.com,Bunton's World Famous
buntopiany.com,Buntopia
burchakpide.com,Burchak Pide
burgerandlobster.com,Burger & Lobster
burgerheaven.com,Burger Heaven
burgerituptogo.com,Burger It Up
burgervillage.com,Burger Village
burgersandbeernyc.com,Burgers & Beer
topthaibayridgetogo.com,Burmese Harp
burritosymasnyc.com,Burritos y Mas
busstopcafe-nyc.com,Bus Stop Cafe
bushniwa.com,Bushniwa
bushwickcountryclub.com,Bushwick Country Club
butcherbar.com,Butcher Bar
buttersmashburgers.com,Butter Smashburgers
bxlrestaurants.com,BXL Cafe
bzgrillnyc.com,BZ Grill
ckewgardens.com,C
cadencenewyork.com,Cadence
archetypus.com,Cafe Archetypus
cafebellavita.com,Cafe Bella Vita
cafeboulud.com,Cafe Boulud
brume.nyc,Café Brume
cafechilithainy.com,Cafe Chili
cafechinanyc.com,Cafe China
cafecluny.com,Cafe Cluny
cafe-colette.com,Café Colette
cafedusoleilny.com,Café du Soleil
cafefiorello.com,Café Fiorello
cafehabana.com,Café Habana
henrinyc.com,Cafe Henri
cafehimalaya.weebly.com,Cafe Himalaya
cafekatja.com,Cafe Katja
kesnewyork.com,Cafe Kestrel
cafelilybrooklyn.com,Cafe Lily
cafelucenyc.com,Cafe Luce
cafelukanyc.com,Cafe Luka
cafeluluc.net,Cafe Luluc
cafeluxembourg.com,Cafe Luxembourg
cafemarsbk.com,Café Mars
cafemassawa.com,Cafe Massawa
cafemaud.com,Café Maud
ornithologyjazzclub.com,Cafe Ornithology
cafeparadisonyc.com,Cafe Paradiso
thecafeplus.com,Cafe Plus
cafeselectnyc.com,Café Select
cafespaghetti.com,Cafe Spaghetti
cafetriskell.co,Café Triskell
cafexochimilco.wixsite.com,Cafe Xochimilco
cafeteriagroup.com,CAFETERIA
caffebuongusto.nyc,Caffe Buon Gusto
calabrijesnyc.com,Calabrije's Margaritas & Tacos
calaverascorner.com,Calaveras Corner
calientecabco.com,Caliente Cab
cpk.com,California Pizza Kitchen
thecallboxlounge.com,Call Box Lounge
calledao.com,Calle Dao
camillobk.com,Camillo
campobellorestaurant.com,Campo Bello
canalbar.com,Canal Bar
candlecafe.nyc,Candle
cantinamexicanasi.com,Cantina Mexicana
canyonroadny.com,Canyon Road Bar & Grill
captloui.com,Cap't Loui
thecapitalgrille.com,Capital Grille at Time-Life
capizzinyc.com,Capizzi
cappcafebayridge.com,Cappuccino Cafe
captdansgoodtimetavern.com,Captain Dan's
caracasarepabar.com,Caracas Arepa Bar
caravanofdreams.net,Caravan of Dreams
caravanuyghur.com,Caravan Uyghur Cuisine
carbonenewyork.com,Carbone
cardamomny.com,Cardamom
caribbeansoulnyc.com,Caribbean Soul Rooftop Restaurant & Lounge
caribbeantastebudz.com,Caribbean Taste Budz
carinonyc.com,Cariño
mexikoshernyc.com,Carlos & Gabby's Glatt Kosher Mexican Grill
carlotanyc.com,Carlota
carloweastbar.com,Carlow East
carmineandsonspizza.com,Carmine & Sons Pizzeria & Sports Bar
carminesnyc.com,Carmine's
carnevalbrooklyn.com,Carneval
carraghersnyc.com,Carragher's
carrollplacenyc.com,Carroll Place
carrotexpress.com,Carrot Express
casabistrony.com,Casa Asia
casabocadonyc.com,Casa Bocada
casaninosi.com,Casa Nino's Pizza Bar
osteriabrooklyn.getbento.com,Casa NoNo
casapublicabk.com,Casa Pública
theodoropizza.com,Casa Theodoro Pizzaria & Brazilian Eatery
casabiancapizzeriamenu.com,Casabianca
casanovarestaurantnyc.com,Casanova
casinonyc.info,Casino
casknyc.com,Cask
sundownbar.com,Cassette
castironpotbbq.com,Cast Iron Pot
castrosrestaurantny.com,Castro's
catchrestaurants.com,Catch NYC
catfishnyc.com,Catfish
cava.com,CAVA
caviarrusse.com,Caviar Russe
cebubrooklyn.com,Cebu
cecconisdumbo.com,Cecconi’s Dumbo
ceetay.com,Ceetay
celesterestaurantny.com,Celeste
cellardog.net,Cellar Dog
cenabrooklyn.com,Cena
centannibrooklyn.com,Cent'Anni
urbanspoon.com,Centric
cha-chan-tang.com,Cha Chang Tang
chaikhanasemsorok.com,Chaikhana Sem Sorok
chakra.kitchen,Chakra
chamamama.com,Chama Mama
chambers.nyc,Chambers
eatchamounsway.com,Chamoun's Way
champagneproblemsnyc.com,Champagne Problems
champerssocialclub.com,Champers Social Club
chandnirestaurantny.com,Chandni Restaurant
changpaichinese.com,Chang Pai
chanoscantina.com,Chano's Cantina
charactersnyc.com,Characters NYC Bar & Lounge
charcoalgrillmodern.com,Charcoal Grill & Modern Buffet
charlestonbarbrooklyn.com,Charleston
charliesbarkitchen.com,Charlie's Bar & Kitchen
charmbarrestaurant.com,Charm
charmkao.com,Charm Kao
charmsnyc.com,Charm's
charruanyc.com,Charrua Uruguayan Restaurant
chatnchewnyc.com,Chat n Chew
chateauroyalenyc.com,Chateau Royale
thechatti.com,Chatti
cheesypizzabroadway.com,Cheesy Pizza
chef28.com,Chef 28
cheftannyc.com,Chef Tan
cheftogocuisine.com,Chef To Go Cuisine
brooklynfare.com,Chef's Table at Brooklyn Fare
chelaparkslope.com,Chela
chelseacraftbrewing.com,Chelsea Craft Brewing Company
bronxnewchina.com,Chen‘s New China
cherrytavern.com,Cherry Tavern
cherylsglobalsoul.com,Cheryl's Global Soul
chezjosephine.com,Chez Josephine
chezmoiny.com,Chez Moi
cheznicknyc.com,Chez Nick
chezoskar.com,Chez Oskar
chezzou.com,Chez Zou
chickchicknyc.com,Chick Chick
orderchickendelicious.com,Chicken Delicious
whereyoueat.com,Chicken Festival
chicken-lovers.com,Chicken Lovers
chickenranchny.com,Chicken Ranch
chiefsmokehouse.getsauce.com,Chief Smokehouse
chilinyc.com,Chili
chilis.com,Chili's
chillastoria.com,Chill Lounge Oven Grill
chilosbk.com,Chilo's
chinachaletstatenisland.com,China Chalet
nychinariver.com,China River
chinah.kitchen,Chinah
chinatonyc.com,Chinato
orderchinelosrestaurant.com,Chinelos II
chinesetuxedo.com,Chinese Tuxedo
chirpingchicken.com,Chirping Chicken
chito-gvritonyc.com,Chito Gvrito
chloeonbleecker.com,Chloe
chloesfruit.com,Chloe's Soft Serve Fruit Co.
chodanggolnyc.com,Cho Dang Gol
chocolatharlem.com,Chocolat Restaurant Lounge
chop-shop.co,Chop Shop
gochopstickhouse.com,Chopstick House
chotenawabnyc.com,Chote Nawab
chowhousenyc.com,Chow House
chrissrestaurant.com,Chris's Restaurant
churosthainyc.com,Chu Ros Thai
chuantianxiaofficial.com,Chuan Tian Xia
chubbytan.com,Chubby Tan
locations.chuckecheese.com,Chuck E. Cheese
chukobk.com,Chuko
chunhongkongcafe.com,Chun Hong Kong Cafe
ciaopaisan.com,Ciao Paisan
cilantronyc.com,Cilantro NYC
cincodemayobayside.com,Cinco de Mayo
cinnabon.com,Cinnabon/Carvel
thepennsy.nyc,Cinnamon snail
circabrewing.co,Circa Brewing Co.
centroespanoldequeens.org,Círculo Español
citricobrooklyn.com,Citrico
citricocafe.com,Citrico Cafe
citydinernyc.net,City Diner
citywinery.com,City Winery
ckakaqellue.com,Çka ka Qellue
clarasbushwick.com,Clara's
clarksdiner.com,Clark's Restaurant
clarobk.com,Claro
classon38th.com,Class on 38th
claudnyc.com,Claud
claudettenyc.com,Claudette
claudiospizza10thave.com,Claudio’s Pizza & Pasta
claudys.com,Claudy's Kitchen
clementescrabhouse.com,Clemente's Maryland Crab House
clintonhaklny.com,Clinton Hall
clintonstreetbaking.com,Clinton St. Baking Company
clockworknyc.com,Clockwork Bar
cloudvietnamesenyc.com,Cloud Vietnamese
citizenm.com,cloudM Rooftop-Bar
cloverclubny.com,Clover Club
clubasteakhouse.com,Club A Steakhouse
clubcummingnyc.com,Club Cumming
cobbleandco.nyc,Cobble & Co
cobblehillcoffeeshopny.com,Cobble Hill Coffee Shop
cocinachente.com,Cocina Chente
cocolins.com,Coco Lin Restaurant
cocoronandgoemon.com,Cocoron
colettanyc.com,Coletta Italian Vegan Restaurant
colonnadenyc.com,Colonnade Diner
colombiany.com,Columbia in Park Slope
columnswinebar.com,Columns Wine Bar
comeonthaicuisine.com,Come On Thai
commoncountrybar.com,Common Country
commonwealthbar.com,Commonwealth
communityrestaurant.com,Community Food & Juice
compagnienyc.com,Compagnie des Vins Surnaturels
concrete-brooklyn.com,Concrete
confidantnyc.com,Confidant
congeevillagenyc.com,Congee Village
congressbarbk.com,Congress
connollyspubandrestaurant.com,Connolly's
hellgatenyc.com,Conohen
conorsgoat.com,Conor's Goat
contranyc.com,Contra
convivium-osteria.com,Convivium Osteria
cookedklean.com,Cooked Klean
coolerrunningsjarestaurant.com,Cooler Runnings Jamaican
coopersnyc.com,Coopers Craft & Kitchen
copperandoak.com,Copper & Oak
corkbuzz.com,Corkbuzz
chelsea.corkbuzz.com,Corkbuzz Wine Bar and Restaurant
cornbreadsoul.com,Cornbread
cornerbistrony.com,Corner bistro
cornersocialnyc.com,Corner Social
corazondemexicolic.com,Corozon Mexico
corradoscucina.com,Corrado's Cucina
corthaiyou.com,Corthaiyou
cosmenyc.com,Cosme
foodeist.com,Cosmic Diner
coszcalbk.com,Coszcal de Allende
cotenna.com,Cotenna
cotrabrooklyn.com,Cotra
cottanyc.com,Cotta Osteria
covachany.com,Covacha
covenhovennyc.com,Covenhoven
cowgirlnyc.com,Cowgirl
cowgirlsrahorse.com,Cowgirl Seahorse
coyotebohemio.com,Coyote Bohemio
cozysoupandburger.com,Cozy Soup 'n' Burger
crabdujour.com,Crab du Jour
crabdujouravez.com,Crab Du Jour
crabdujourxpressny.com,Crab Du Jour Xpress Cajun
crabhousebk.com,Crab House Brooklyn
crabhousets.com,Crab House Times Square
craftandcarry.beer,Craft & Carry
cravefishbar.com,Crave Fishbar
crazymeatnyc.getsauce.com,Crazy Meat NYC
creamlinenyc.com,Creamline
creminis.com,Cremini's
creperienyc.com,Creperie
croninandphelans.com,Cronin & Phelan's
crostany.com,Crosta
crotonnyc.com,Croton Reservoir Tavern
crownfriedchicken.com,Crown Chicken & Grill
crowngardenbrooklyn.com,Crown Garden
crowninnbk.com,Crown Inn
crownpalaceforestave.com,Crown Palace
crownshy.nyc,Crown Shy
crystalcoveseafood.com,Crystal Cove Seafood
crystallakebrooklyn.com,Crystal Lake Brooklyn
cubanacafebrooklyn.com,Cubana Cafe
cubbyholebar.com,cubbyhole
cucinabenepizza.com,Cucina Bene Pizza
cuencanitosportbarrestaurantny.com,Cuencanito Sports Bar Restaurant
cuihuakitchen.com,Cuihua Kitchen Inc
cuisinebyclaudette.nyc,Cuisine by Caludette
cupernewyorkcity.com,CUPER
curryflavornyc.com,Curry Flavor
curryinahurrynyc.com,Curry in a Hurry
curryinhandi.com,Curry in Handi
currykinginc.com,Curry King
curryleafbrooklyn.com,Curry Leaf Indian Cuisine
dandbstatenisland.com,D & B Restaurant II
dmontazorestaurant.com,D' Montazo
dangelopizzanyc.com,D'angelo's Pizzeria & Restaurant
daandreanyc.com,Da Andrea
daclaudionyc.com,Da Claudio
dafrancescobk.com,Da Francesco
damarino.com,Da Marino
damikele.com,Da Mikele
danicoristorante.com,Da Nico
dagonnyc.com,Dagon
daihachiny.com,Dai Hachi
dailyprovisionsnyc.com,Daily Provisions
daizenbrooklyn.com,Daizen
thedakotabar.nyc,Dakota Bar
dallasbbq.com,Dallas BBQ
damenewyork.com,Dame
danishouseofpizza.com,Dani's House of Pizza
danielnyc.com,Daniel
danneethaibrooklynny.com,Dannee Thai
dannysgrillinc.com,Danny's Grill
dannyspizzeria.com,Danny's Pizzeria
dante-nyc.com,Dante
daodimsum.com,Dao Dim Sum
dar525.com,Dar 525
darkhorseny.com,Dark Horse
darlingrooftop.com,Darling
kyotosmith.com,Dastaan Indian Kitchen
dayininyeri.us,Dayi’nin Yeri
draftbarnny.com,DB
dbbistro.com,DB Bistro Moderne
ddhibachi.com,DD Soup Dumpling & Fuji Hibachi
demolehopest.com,de Mole
dearirving.com,Dear Irving
deathandcompany.com,Death & Company
dbsknyc.com,Debaski
sakebardecibel.com,Decibel
delposto.com,Del Posto
deliaslounge.com,Delia's Lounge
delicesarrasin.com,Délice & Sarrasin
deliciasdemexicorestaurant.com,Delicias De Mexico
delightdiner.com,Delight Diner and Donuts
delizia92.com,Delizia 92
dellaroccospizza.com,Dellarocco's Pizza
delmarpizzabk.com,Delmar Pizzeria
delmonicosny.com,Delmonico's
demowestvillage.com,Demo
deninossi.com,Denino’s Pizzeria & Tavern
deniznyc.com,Deniz
locations.dennys.com,Denny's
departedsoles.com,Departed Soles Brewing Company
desigrillindiancuisinebk.com,Desi Grill
deesteakhouse.com,Destefano's Steakhouse
deuxchatsbk.com,Deux Chats
dhnoodles.com,DH Noodles
dhabanyc.com,Dhaba
diandi.nyc,Di An Di
difarapizzany.com,Di Fara
difarinapizzeria.com,Di Farina Pizzeria
diaynocherestaurant.com,Dia & Noche Restaurant
wwww.instagram.com,Diamond Slice
dillydallybk.com,Dilly Dally
dimsumpalace.com,Dim Sum Palace
dimsumsam.us,Dim Sum Sam
dimesnyc.com,Dimes
dinbrooklyn.com,Din Soup Dumplings
dinernyc.com,Diner
diner24nyc.com,Diner 24
thedinerbar.com,Diner Bar
dinobk.com,Dino
dinospizzeriamenu.com,Dino's Pizzeria
dinosaurbarbque.com,Dinosaur Bar-B-Que
districttaphouse.com,District Tap House
ditmars-thai.squarespace.com,Ditmars Thai
dive75.divebarnyc.com,Dive 75
divebarnyc.com,Dive Bar
divebarbk.com,Dive Bar BK
divebarlic.com,Dive Bar LIC
divyas.com,Divya’s Kitchen
diwangrillnyc.com,Diwan Grill
diypokesushi.com,DIY Poké Sushi
dizengoffhummus.com,Dizen Goff
jazz.org,Dizzy’s Club
djondjonbk.com,Djon Djon
doordivebedstuy.com,Do or Dive
dogandboneny.com,Dog & Bone
dokodemonyc.com,DokoDemo
dolcefantasia.us,Dolce Fantasia
doloresbk.com,Dolores
doma-restaurant.square.site,Doma
domainewinebar.com,Domaine
domenicospizzeria.com,Domenico’s Famous Ristorante & Cafe
dominicancravings.com,Dominican Cravings
donangie.com,Don Angie
